item;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Maize (corn);1151000.0;1035000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;974283.0;1113488.0;455144.0;598835.0;417371.0;711010.0;264705.0;437476.0;432591.0;472924.0;455583.0;11332137.9;13173295.8;15281594.0;13208095.0;11419020.0;14282352.0;13879210.1;0.0
Margarine and shortening;200.0;400.0;684000.0;829000.0;697000.0;560000.0;460000.0;623000.0;575000.0;597000.0;605000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;133607.0;878341.0;333574.0;418844.0;511627.0;526433.0;494509.0;533190.32;486840.96;450895.0;441218.5;110976.96
Millet;68650.0;79380.0;750.0;1500.0;1500.0;1500.0;3500.0;3600.0;6000.0;6000.0;7000.0;790000.0;760000.0;780000.0;1100000.0;996000.0;1026000.0;845000.0;0.0;0.0;0.0;0.0;492829.4;572170.0;629078.0;316137.0;217200.0;439771.0;396457.5;144592.9
Mixed grain;11241290.0;11556349.0;51180.0;46730.0;39127.0;58470.0;67500.0;42929.0;46437.0;28079.0;35040.0;5700.0;6000.0;5000.0;6000.0;5700.0;6000.0;5724.52;706000.0;1350000.0;1330000.0;1206000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3775686.2
Molasses;4200.0;4300.0;10757255.0;8562170.0;8325683.0;9382778.0;4656117.0;4392715.0;6002269.0;7718715.0;5682843.0;85614.0;54859.0;62761.0;63990.0;11001.0;29050.0;23692.0;5373.43;4200.0;5000.0;8352.0;1118000.0;1300000.0;1640000.0;1700000.0;1581380.0;1635615.0;1225000.0;1608632.8
Mushrooms and truffles;4500.0;4500.0;4200.0;4700.0;4600.0;4000.0;4100.0;4000.0;4200.0;4500.0;4000.0;5169044.0;4936709.0;4545081.0;4860293.0;5383539.0;5834910.0;5401200.0;36408.0;81676.0;38341.0;50413.7;7662.0;8660.33;9682.0;16088.19;30685.9;47951.0;86377.88;72.4
Mustard seed;1200000.0;1000000.0;3150.0;2610.0;1575.0;2790.0;2430.0;2700.0;3500.0;4000.0;3800.0;5530.0;2970.0;3940.0;2790.0;2200.0;1630.0;1750.0;3219582.0;5332134.0;4027274.0;4931822.0;93158.8;66709.8;73103.0;98398.0;123507.0;164856.5;103032.9;4700.0
Oats;0.0;0.0;857810.0;881400.0;1058890.0;1058502.0;1008574.0;992827.0;1133753.0;1095824.0;1073521.0;5885.0;4154.0;11777.0;10952.0;9759.0;11703.0;8885.0;1135.0;1946.0;2731.0;2091.0;5273812.2;4535641.3;4765889.0;5456237.0;4719324.0;4424433.0;4132095.8;1300.0
Oil of linseed;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1157924.0;1226446.0;1231464.0;1218091.0;1317984.0;1712500.0;1601550.0;6742.0;6057.0;6394.0;5842.0;2225.0;2847.0;4737.0;11871.62;24942.02;28889.0;35196.13;31710.9
Oil of maize;176000.0;171000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3500.0;0.0;220.0;350.0;380.0;270.0;70.0;60.0;1536302.9;2122741.0;2080814.0;1984937.0;5717.0;5403.0;6062.7;6445.12;9971.58;12466.0;11740.88;40976.2
